id,name,ABILITY1,ABILITY2,HIDDEN_ABILITY,TYPE1,TYPE2,HP,ATTACK,DEFENSE,SPECIAL_ATTACK,SPECIAL_DEFENSE,SPEED,TOTAL_STAT,GENERATION_NO
1,bulbasaur,overgrow,none,chlorophyll,grass,poison,45,49,49,65,65,45,318,1.0
2,ivysaur,overgrow,none,chlorophyll,grass,poison,60,62,63,80,80,60,405,1.0
3,venusaur,overgrow,none,chlorophyll,grass,poison,80,82,83,100,100,80,525,1.0
4,charmander,blaze,none,solar-power,fire,none,39,52,43,60,50,65,309,1.0
5,charmeleon,blaze,none,solar-power,fire,none,58,64,58,80,65,80,405,1.0
6,charizard,blaze,none,solar-power,fire,flying,78,84,78,109,85,100,534,1.0
7,squirtle,torrent,none,rain-dish,water,none,44,48,65,50,64,43,314,1.0
8,wartortle,torrent,none,rain-dish,water,none,59,63,80,65,80,58,405,1.0
9,blastoise,torrent,none,rain-dish,water,none,79,83,100,85,105,78,530,1.0
10,caterpie,shield-dust,none,run-away,bug,none,45,30,35,20,20,45,195,1.0
11,metapod,shed-skin,none,none,bug,none,50,20,55,25,25,30,205,1.0
12,butterfree,compound-eyes,none,tinted-lens,bug,flying,60,45,50,90,80,70,395,1.0
13,weedle,shield-dust,none,run-away,bug,poison,40,35,30,20,20,50,195,1.0
14,kakuna,shed-skin,none,none,bug,poison,45,25,50,25,25,35,205,1.0
15,beedrill,swarm,none,sniper,bug,poison,65,90,40,45,80,75,395,1.0
16,pidgey,keen-eye,tangled-feet,big-pecks,normal,flying,40,45,40,35,35,56,251,1.0
17,pidgeotto,keen-eye,tangled-feet,big-pecks,normal,flying,63,60,55,50,50,71,349,1.0
18,pidgeot,keen-eye,tangled-feet,big-pecks,normal,flying,83,80,75,70,70,101,479,1.0
19,rattata,run-away,guts,hustle,normal,none,30,56,35,25,35,72,253,1.0
20,raticate,run-away,guts,hustle,normal,none,55,81,60,50,70,97,413,1.0
21,spearow,keen-eye,none,sniper,normal,flying,40,60,30,31,31,70,262,1.0
22,fearow,keen-eye,none,sniper,normal,flying,65,90,65,61,61,100,442,1.0
23,ekans,intimidate,shed-skin,unnerve,poison,none,35,60,44,40,54,55,288,1.0
24,arbok,intimidate,shed-skin,unnerve,poison,none,60,95,69,65,79,80,448,1.0
25,pikachu,static,none,lightning-rod,electric,none,35,55,40,50,50,90,320,1.0
26,raichu,static,none,lightning-rod,electric,none,60,90,55,90,80,110,485,1.0
27,sandshrew,sand-veil,none,sand-rush,ground,none,50,75,85,20,30,40,300,1.0
28,sandslash,sand-veil,none,sand-rush,ground,none,75,100,110,45,55,65,450,1.0
29,nidoran-f,poison-point,rivalry,hustle,poison,none,55,47,52,40,40,41,275,1.0
30,nidorina,poison-point,rivalry,hustle,poison,none,70,62,67,55,55,56,365,1.0
31,nidoqueen,poison-point,rivalry,sheer-force,poison,ground,90,92,87,75,85,76,505,1.0
32,nidoran-m,poison-point,rivalry,hustle,poison,none,46,57,40,40,40,50,273,1.0
33,nidorino,poison-point,rivalry,hustle,poison,none,61,72,57,55,55,65,365,1.0
34,nidoking,poison-point,rivalry,sheer-force,poison,ground,81,102,77,85,75,85,505,1.0
35,clefairy,cute-charm,magic-guard,friend-guard,fairy,none,70,45,48,60,65,35,323,1.0
36,clefable,cute-charm,magic-guard,unaware,fairy,none,95,70,73,95,90,60,483,1.0
37,vulpix,flash-fire,none,drought,fire,none,38,41,40,50,65,65,299,1.0
